1721294526056.00, 870, -598365, -434 
1721294526078.00, 838, -598345, -434 
1721294526099.00, 833, -598326, -437 
1721294526120.00, 835, -598308, -436 
1721294526141.00, 801, -598289, -436 
1721294526163.00, 752, -598273, -435 
1721294526185.00, 742, -598256, -431 
1721294526207.00, 751, -598238, -429 
1721294526229.00, 726, -598223, -429 
1721294526250.00, 712, -598207, -429 
1721294526272.00, 677, -598191, -428 
1721294526293.00, 680, -598176, -426 
1721294526314.00, 677, -598160, -425 
1721294526336.00, 636, -598147, -425 
1721294526357.00, 616, -598133, -424 
1721294526379.00, 628, -598118, -424 
1721294526401.00, 609, -598104, -424 
1721294526424.00, 599, -598091, -424 
1721294526444.00, 538, -598078, -425 
1721294526465.00, 527, -598067, -427 
1721294526487.00, 580, -598056, -428 
1721294526508.00, 528, -598043, -428 
1721294526530.00, 495, -598031, -428 
1721294526552.00, 497, -598023, -429 
1721294526573.00, 466, -598011, -431 
1721294526595.00, 446, -598001, -431 
1721294526617.00, 464, -597992, -430 
1721294526638.00, 466, -597982, -432 
1721294526659.00, 460, -597971, -432 
1721294526681.00, 445, -597962, -431 
1721294526706.00, 422, -597952, -431 
1721294526723.00, 406, -597943, -431 
1721294526746.00, 386, -597934, -432 
1721294526767.00, 361, -597927, -434 
1721294526789.00, 346, -597918, -435 
1721294526811.00, 332, -597910, -436 
1721294526832.00, 317, -597903, -435 
1721294526853.00, 310, -597898, -433 
1721294526875.00, 286, -597891, -431 
1721294526896.00, 286, -597883, -430 
1721294526918.00, 291, -597878, -429 
1721294526940.00, 282, -597871, -429 
1721294526961.00, 266, -597866, -428 
1721294526982.00, 256, -597860, -429 
1721294527004.00, 251, -597855, -432 
1721294527030.00, 260, -597848, -434 
1721294527047.00, 272, -597843, -433 
1721294527067.00, 264, -597838, -435 
1721294527091.00, 248, -597831, -436 
1721294527113.00, 247, -597827, -436 
1721294527140.00, 259, -597822, -436 
1721294527156.00, 247, -597816, -435 
1721294527177.00, 273, -597812, -434 
1721294527199.00, 246, -597805, -433 
1721294527220.00, 224, -597798, -433 
1721294527242.00, 210, -597794, -432 
1721294527263.00, 192, -597789, -432 
1721294527285.00, 192, -597786, -434 
1721294527307.00, 183, -597780, -435 
1721294527328.00, 175, -597777, -434 
1721294527350.00, 163, -597773, -435 
1721294527371.00, 156, -597769, -436 
1721294527392.00, 165, -597766, -436 
1721294527414.00, 173, -597763, -433 
1721294527436.00, 148, -597759, -432 
1721294527457.00, 147, -597756, -433 
1721294527479.00, 143, -597753, -434 
1721294527500.00, 141, -597750, -433 
1721294527522.00, 136, -597746, -433 
1721294527543.00, 130, -597743, -432 
1721294527565.00, 120, -597740, -430 
