0.08, 0, -29887, -48 
0.30, -5, -29887, -48 
0.51, 0, -29886, -48 
0.72, 56, -29882, -48 
0.93, 41, -29865, -48 
1.14, -6, -29861, -48 
1.36, 0, -29856, -48 
1.57, -4, -29853, -48 
1.78, -2, -29852, -48 
1.99, 0, -29850, -48 
2.20, -6, -29848, -48 
2.42, -5, -29846, -48 
2.63, 0, -29835, -48 
2.84, 12870, -29767, -84 
3.05, 26409, -26469, -256 
3.27, 21534, -20246, -376 
3.48, 22291, -15918, -428 
3.70, 25160, -11037, -448 
3.91, 25011, -5483, -480 
4.13, 24498, -144, -508 
4.34, 27567, 5205, -526 
4.56, 27320, 11370, -562 
4.77, 28270, 17317, -596 
4.99, 28437, 23532, -614 
5.20, 29626, 29634, -629 
5.41, 28493, 36032, -652 
5.63, 29465, 42089, -649 
5.84, 29869, 48476, -655 
6.06, 27933, 54838, -662 
6.27, 27058, 60814, -663 
6.48, 7460, 65732, -490 
6.70, 16333, 67089, -253 
6.91, 12496, 70555, -216 
7.12, 11458, 73117, -138 
7.34, 10340, 75648, -123 
7.55, 9548, 77914, -99 
7.76, 0, 79529, -47 
7.97, 0, 79584, 104 
8.19, -18838, 79562, 258 
8.40, -37659, 74229, 367 
8.62, -18313, 65782, 467 
8.83, -27781, 62740, 489 
9.05, -30050, 55997, 462 
9.26, -20879, 49887, 493 
9.48, -30761, 45591, 481 
9.69, -22557, 38777, 453 
9.90, -25367, 34454, 465 
10.12, -25850, 28695, 433 
10.33, -21111, 23334, 419 
10.55, -25521, 18865, 396 
10.76, -19493, 13311, 362 
10.98, -25807, 9252, 345 
11.19, -19982, 3661, 345 
11.41, -22799, -385, 339 
11.62, -22183, -5466, 333 
11.84, -21790, -10216, 329 
12.05, -21379, -14903, 328 
12.27, -21284, -19439, 306 
12.48, -23868, -24151, 318 
12.69, -24021, -29466, 344 
12.91, -24365, -34615, 392 
13.13, -26195, -39980, 415 
13.34, -25253, -45607, 437 
13.55, -24712, -50910, 462 
13.77, -28100, -56415, 462 
13.98, -26362, -62525, 488 
14.20, -27679, -68076, 517 
14.41, -29174, -74099, 532 
14.63, -28893, -80424, 568 
14.84, -29336, -86599, 598 
15.06, -30416, -93007, 611 
15.27, -30121, -99619, 629 
