0.11, -14492, -87922, 50 
0.29, -15377, -90567, 53 
0.47, 0, -93346, 56 
0.66, -5861, -93576, 60 
0.84, -13839, -95022, 62 
1.02, -15532, -97626, 64 
1.20, 0, -100499, 67 
1.39, -6385, -100758, 69 
1.57, -14358, -102331, 70 
1.75, -16401, -105090, 72 
1.94, 0, -108072, 75 
2.12, -8152, -108335, 78 
2.30, -15590, -109989, 79 
2.48, 0, -112905, 80 
2.67, -8918, -113174, 83 
2.85, -15879, -115032, 85 
3.03, 0, -118043, 86 
3.22, -6638, -118368, 88 
3.40, -16540, -119986, 89 
3.58, 0, -123038, 90 
3.77, -7829, -123368, 93 
3.95, -16412, -125216, 94 
4.13, 0, -128368, 95 
4.32, -7817, -128692, 97 
4.50, -17561, -130543, 98 
4.68, 21, -133764, 99 
4.87, -9877, -134093, 107 
5.05, -18089, -136041, 102 
5.23, 0, -139319, 100 
5.41, -8418, -139640, 104 
5.60, -17332, -141611, 105 
5.78, 0, -144815, 93 
5.96, -7685, -145122, 115 
6.15, -16821, -146965, 103 
6.33, 0, -150130, 95 
6.51, -9603, -150449, 115 
6.70, -17633, -152415, 102 
6.89, 0, -155589, 94 
7.06, -9838, -155895, 114 
7.25, -17748, -157907, 106 
7.43, -3, -161186, 101 
7.61, -7927, -161502, 107 
7.80, -15109, -163341, 87 
7.98, 4, -166125, 76 
8.16, -5188, -166346, 77 
8.35, -7787, -167510, 49 
8.53, -5539, -168907, 1 
8.71, 0, -169518, -56 
8.89, 11037, -169513, -124 
9.08, 21152, -167116, -154 
9.26, 4667, -162960, -183 
9.45, 17299, -162123, -261 
9.63, 9851, -158334, -253 
9.81, 20509, -156897, -303 
10.00, 15259, -152390, -315 
10.18, 5805, -149963, -385 
10.37, 30886, -148765, -445 
10.55, 20860, -142478, -418 
10.73, 8416, -139334, -494 
10.92, 36178, -137589, -560 
11.10, 27017, -129998, -516 
11.28, 9782, -125852, -600 
11.47, 38876, -123997, -638 
11.66, 29424, -115854, -560 
11.84, 10621, -111364, -655 
12.03, 42167, -109514, -701 
12.21, 33142, -100612, -611 
12.39, 7581, -95679, -706 
12.58, 41930, -94218, -729 
12.76, 34092, -85175, -646 
12.94, 3340, -80220, -743 
13.13, 36526, -79767, -722 
13.31, 28958, -71806, -603 
13.49, 16, -67652, -696 
13.68, 36174, -67580, -691 
13.86, 27655, -59592, -611 
14.04, 0, -55669, -697 
14.23, 37144, -55668, -721 
14.42, 28543, -47394, -628 
14.60, 0, -43328, -717 
14.78, 37688, -43327, -696 
14.97, 27838, -35044, -629 
15.15, 0, -31247, -730 
15.33, 39734, -31245, -748 
15.52, 25559, -22552, -659 
15.70, 0, -19118, -699 
15.88, 37472, -19116, -679 
16.07, 24978, -10821, -617 
16.25, 0, -7461, -715 
16.44, 36529, -7460, -690 
16.62, 23425, 747, -618 
16.80, 0, 3893, -692 
16.99, 37051, 3895, -666 
17.17, 23013, 12232, -621 
17.35, 0, 15323, -699 
17.54, 35844, 15323, -676 
17.72, 21893, 23579, -621 
17.91, -33, 26630, -709 
18.09, 36734, 26630, -686 
18.28, 19583, 34950, -616 
18.46, 0, 37715, -671 
18.64, 35920, 37717, -652 
18.83, 15200, 45804, -598 
19.01, 0, 48230, -620 
19.19, 32585, 48231, -581 
19.37, 6260, 55514, -532 
19.56, 26133, 57299, -501 
19.74, -181, 63078, -414 
19.92, 11193, 64095, -326 
20.11, 12561, 66126, -113 
20.29, 6659, 68143, -17 
20.47, 0, 68816, 72 
20.66, -16163, 68812, 167 
20.84, -41600, 64905, 264 
21.03, -43905, 56580, 312 
21.21, -34543, 48739, 390 
21.40, -36956, 42463, 432 
21.58, -42192, 35391, 469 
21.77, -38190, 27559, 506 
21.95, -35970, 20652, 518 
22.14, -36576, 14065, 527 
22.32, -34980, 7400, 528 
22.50, -34018, 980, 531 
22.69, -32513, -5152, 547 
22.87, -30315, -11032, 549 
23.06, -33281, -16819, 563 
23.24, -32509, -23061, 582 
23.43, -29660, -28942, 590 
23.61, -29495, -34352, 600 
23.80, -32081, -39928, 613 
23.98, -33047, -46002, 649 
24.17, -33429, -52252, 688 
24.35, -34390, -58547, 719 
24.54, -34784, -64954, 748 
24.72, -33851, -71418, 778 
24.91, -33470, -77653, 793 
25.09, -35706, -83922, 816 
25.28, -35443, -90519, 851 
25.46, -35880, -97089, 886 
25.65, -36102, -103712, 912 
25.83, -35112, -110344, 934 
26.02, -32952, -116777, 944 
26.20, -27243, -122653, 922 
26.39, -26407, -127671, 879 
26.57, -26049, -132595, 862 
26.76, -23591, -137385, 844 
26.94, -19935, -141536, 809 
27.13, -15990, -145073, 767 
27.31, -11406, -147834, 691 
27.49, -22368, -149432, 567 
27.68, 11, -153959, 310 
27.86, 0, -154540, 62 
28.04, -4, -154537, -197 
28.23, 24054, -154530, -349 
28.41, 25657, -149183, -384 
28.59, 18162, -144869, -465 
28.78, 26209, -141353, -601 
28.96, 31250, -136274, -668 
29.15, 30256, -130419, -731 
29.33, 28612, -124827, -777 
29.52, 28919, -119471, -794 
29.70, 29811, -114090, -804 
29.89, 29317, -108574, -821 
30.07, 28258, -103067, -846 
30.26, 29605, -97642, -849 
30.44, 24798, -92309, -837 
30.63, 24383, -87696, -825 
30.81, 27429, -83034, -819 
31.00, 26676, -78009, -840 
31.18, 25816, -73083, -862 
31.37, 26013, -68205, -873 
31.55, 26195, -63390, -872 
31.74, 25142, -58537, -888 
31.92, 23717, -53921, -880 
32.11, 23299, -49539, -872 
32.29, 22665, -45293, -867 
32.47, 21991, -41141, -860 
32.66, 22337, -37036, -863 
32.84, 20514, -32988, -859 
33.03, 20988, -29164, -861 
33.21, 19939, -25299, -856 
33.40, 18786, -21772, -834 
33.58, 19913, -18338, -839 
33.77, 20040, -14661, -846 
33.95, 20962, -10836, -869 
34.14, 21672, -6876, -884 
34.32, 20050, -2850, -896 
34.50, 19910, 849, -889 
34.69, 19673, 4501, -886 
