0.02, 0, -1994832, 2 
0.23, 0, -1994831, 3 
0.44, 0, -1994830, 2 
0.66, 0, -1994831, 3 
0.87, 0, -1994831, 3 
1.08, 0, -1994831, 3 
1.29, 0, -1994831, 3 
1.50, 0, -1994831, 3 
1.71, 0, -1994831, 3 
1.93, 0, -1994831, 3 
2.14, 0, -1994832, 2 
2.35, 0, -1994831, 3 
2.56, 0, -1994831, 3 
2.77, 0, -1994831, 3 
2.99, -1, -1994830, 2 
3.20, 0, -1994830, 2 
3.41, 0, -1994830, 2 
3.62, 0, -1994830, 2 
3.84, 48, -1994832, 2 
4.04, 0, -1994831, 3 
4.26, 0, -1994830, 2 
4.48, 56, -1994830, 2 
4.68, -1, -1994830, 2 
4.89, 0, -1994825, 2 
5.10, 0, -1994822, 2 
5.32, 4, -1994822, 2 
5.53, 0, -1994822, 2 
5.74, -5, -1994822, 2 
5.95, 0, -1994822, 2 
6.16, 0, -1994821, 2 
6.37, 0, -1994822, 2 
6.59, -1, -1994821, 2 
6.80, 0, -1994821, 2 
7.01, 0, -1994820, 2 
7.22, 0, -1994821, 2 
7.44, 0, -1994821, 2 
7.65, 0, -1994819, 2 
7.86, 0, -1994820, 2 
8.07, 0, -1994820, 2 
8.28, 0, -1994822, 3 
8.49, 0, -1994820, 4 
8.71, 0, -1994821, 7 
8.92, 0, -1994822, 42 
9.13, -4728, -1994869, 85 
9.34, -8105, -1995916, 160 
9.56, -10582, -1997640, 266 
9.77, -12224, -1999878, 418 
9.98, -13520, -2002482, 542 
10.20, -14087, -2005326, 594 
10.41, -14572, -2008358, 635 
10.63, -14424, -2011461, 655 
10.84, -14412, -2014571, 666 
11.05, -14884, -2017679, 688 
11.26, -14513, -2020781, 666 
11.47, -14456, -2023882, 605 
11.69, -14740, -2026982, 556 
11.90, -14607, -2030092, 482 
12.11, -14758, -2033203, 616 
12.33, -14453, -2036309, 653 
12.54, -14478, -2039411, 680 
12.75, -14629, -2042519, 690 
12.97, -14448, -2045625, 720 
13.18, -14736, -2048726, 711 
13.39, -14441, -2051830, 707 
13.61, -14468, -2054926, 619 
13.82, -14784, -2058024, 586 
14.03, -14578, -2061132, 613 
14.25, -14588, -2064238, 603 
14.46, -14537, -2067341, 596 
14.67, -14437, -2070436, 539 
